"date","mun_code","mun_name","tests","cases","population","cases_per_100K"
2020-03-27,860,"Hjørring",NA,NA,64665,NA
2020-04-03,101,"København",NA,700,623404,112.3
2020-04-03,147,"Frederiksberg",NA,149,103960,143.3
2020-04-03,151,"Ballerup",NA,47,48458,97
2020-04-03,153,"Brøndby",NA,39,35397,110.2
2020-04-03,155,"Dragør",NA,NA,14270,NA
2020-04-03,157,"Gentofte",NA,118,75176,157
2020-04-03,159,"Gladsaxe",NA,79,69681,113.4
2020-04-03,161,"Glostrup",NA,36,22615,159.2
2020-04-03,163,"Herlev",NA,29,28786,100.7
2020-04-03,165,"Albertslund",NA,18,27877,64.6
2020-04-03,167,"Hvidovre",NA,55,53416,103
2020-04-03,169,"Høje-Taastrup",NA,48,50686,94.7
2020-04-03,173,"Lyngby-Taarbæk",NA,53,55790,95
2020-04-03,175,"Rødovre",NA,41,40052,102.4
2020-04-03,183,"Ishøj",NA,15,22946,65.4
2020-04-03,185,"Tårnby",NA,27,42984,62.8
2020-04-03,187,"Vallensbæk",NA,28,16654,168.1
2020-04-03,190,"Furesø",NA,29,41069,70.6
2020-04-03,201,"Allerød",NA,13,25646,50.7
2020-04-03,210,"Fredensborg",NA,18,40819,44.1
2020-04-03,217,"Helsingør",NA,60,62567,95.9
2020-04-03,219,"Hillerød",NA,43,50998,84.3
2020-04-03,223,"Hørsholm",NA,35,25007,140
2020-04-03,230,"Rudersdal",NA,59,56509,104.4
2020-04-03,240,"Egedal",NA,42,43335,96.9
2020-04-03,250,"Frederikssund",NA,29,45332,64
2020-04-03,253,"Greve",NA,37,50267,73.6
2020-04-03,259,"Køge",NA,49,60675,80.8
2020-04-03,260,"Halsnæs",NA,14,31271,44.8
2020-04-03,265,"Roskilde",NA,60,87577,68.5
2020-04-03,269,"Solrød",NA,22,23065,95.4
2020-04-03,270,"Gribskov",NA,43,41195,104.4
2020-04-03,306,"Odsherred",NA,NA,33122,NA
2020-04-03,316,"Holbæk",NA,28,71297,39.3
2020-04-03,320,"Faxe",NA,19,36513,52
2020-04-03,326,"Kalundborg",NA,21,48681,43.1
2020-04-03,329,"Ringsted",NA,15,34725,43.2
2020-04-03,330,"Slagelse",NA,106,79073,134.1
2020-04-03,336,"Stevns",NA,NA,22782,NA
2020-04-03,340,"Sorø",NA,24,29834,80.4
2020-04-03,350,"Lejre",NA,13,27775,46.8
2020-04-03,360,"Lolland",NA,20,41615,48.1
2020-04-03,370,"Næstved",NA,44,82991,53
2020-04-03,376,"Guldborgsund",NA,16,60930,26.3
2020-04-03,390,"Vordingborg",NA,10,45816,21.8
2020-04-03,400,"Bornholm",NA,26,39572,65.7
2020-04-03,410,"Middelfart",NA,25,38553,64.8
2020-04-03,411,"Christiansø",NA,NA,90,NA
